Country,ISO,Latitude,Longitude,Beach,Species,IDN,ID_MJ,MPA_NAME,COUNTRY_2,REGION,DESGNATION,STATUS,CATEGORY,CATEGORY2,YEAR,ZONE,MANAGED_BY,IUCN,NOTES,AREAKM_DEC,AREAKM_ACT,PERIKM_ACT,POINT_X,POINT_Y
Seychelles,SC,-4.767883000000000,55.522416999999997,"Anse Parnell, South East Mahé",Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.499233000000001,55.254385999999997,Anse Patates,Eretmochelys imbricata,"135","519",Silhouette,Seychelles,Seychelles,Marine National Park,Working,National,National,"1987",Not described,Seychelles National Parks Authority (SNPA),II,,"10",21.41430000000,46.14030000000,55.23070000000,-4.48799000000
Seychelles,SC,-4.801567000000000,55.528632999999999,Anse Petite Boileau,Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.801567000000000,55.528632999999999,Anse Petite Boileau,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.788417000000000,55.528883000000000,"Anse Petite Marie Louise, South East Mahé",Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.788417000000000,55.528883000000000,"Anse Petite Marie Louise, South East Mahé",Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.802302000000000,55.517074000000001,Anse Petite Police,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.694730000000000,55.458799999999997,"Anse Riviere Gaspart, West Mahé",Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.694730000000000,55.458799999999997,"Anse Riviere Gaspart, West Mahé",Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.744011000000000,55.516742000000001,Anse Royale,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.744900000000000,55.465767000000000,"Anse Soleil, West Mahé",Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.744900000000000,55.465767000000000,"Anse Soleil, West Mahé",Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.775930000000000,55.494565999999999,"Anse Takamaka, South Mahé",Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.775930000000000,55.494565999999999,"Anse Takamaka, South Mahé",Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.214765000000000,55.664118000000002,Aride Island Nature Reserve,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-9.723445999999999,46.512096000000000,Assumption Island,Chelonia mydas,"150","534",Aldabra Marine National Park,Seychelles,Seychelles,Marine National Park,Working,National,National,"2018",Not described,Underway,Undetermined,,"177447",171821.00000000000,2306.82000000000,46.71500000000,-9.31532000000
Seychelles,SC,-4.468169000000000,55.249118000000003,Baie Cipailles,Eretmochelys imbricata,"135","519",Silhouette,Seychelles,Seychelles,Marine National Park,Working,National,National,"1987",Not described,Seychelles National Parks Authority (SNPA),II,,"10",21.41430000000,46.14030000000,55.23070000000,-4.48799000000
Seychelles,SC,-4.756317000000000,55.477666999999997,"Baie Lazare, West Mahé",Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.756317000000000,55.477666999999997,"Baie Lazare, West Mahé",Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-7.135123000000000,52.764808000000002,Bijoutier Island,Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-3.720305000000000,55.210090999999998,Bird Island,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.634000000000000,55.491999999999997,Cerf Island,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-7.121378000000000,56.277684000000001,Coetivy Island,Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.346976000000000,55.643810000000002,Cousine Island,Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.346976000000000,55.643810000000002,Cousine Island,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.330000000000000,55.659999999999997,Cousin Island Special Reserve,Chelonia mydas,"139","523",Cousin Special Reserve,Seychelles,Seychelles,Special Reserve,Working,National,National,"1981",Not described,Nature Seychelles,Ib,,"2",1.58218000000,7.81510000000,55.66150000000,-4.33127000000
Seychelles,SC,-4.330000000000000,55.659999999999997,Cousin Island Special Reserve,Eretmochelys imbricata,"139","523",Cousin Special Reserve,Seychelles,Seychelles,Special Reserve,Working,National,National,"1981",Not described,Nature Seychelles,Ib,,"2",1.58218000000,7.81510000000,55.66150000000,-4.33127000000
Seychelles,SC,-5.426270000000000,53.315486999999997,D?Arros Island and St. Joseph Atoll,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.284099000000001,55.728234000000000,Eight beaches at Curieuse Island Marine Park,Eretmochelys imbricata,"138","522",Curieuse,Seychelles,Seychelles,Marine National Park,Working,National,National,"1979",Not described,Seychelles National Parks Authority (SNPA),II,,"14",11.66380000000,31.33350000000,55.73050000000,-4.29175000000
Seychelles,SC,-4.728443000000000,55.525351000000001,Fairy Land,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-10.136227999999999,51.186270000000000,Farquhar Group,Chelonia mydas,,,,,,,,,,,,,,,,,,,
