IDN,ID_MJ,MPA_NAME,COUNTRY,REGION,DESGNATION,STATUS,CATEGORY,CATEGORY2,YEAR,ZONE,MANAGED_BY,IUCN,NOTES,AREAKM_DEC,AREAKM_ACT,PERIKM_ACT,POINT_X,POINT_Y,ogc_fid,pxlval,area_m2,int_aream2_2016
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,272742.00000000000,"1",601.2295,601.2295
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,272789.00000000000,"1",333568.9113,200704.7598
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,272792.00000000000,"1",601.0150,601.0150
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,272771.00000000000,"1",12621.8594,12621.8594
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,272778.00000000000,"1",7813.3677,7813.3677
"40","237",Msikivi,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",163.71100000000,61.74350000000,39.34130000000,-7.61917000000,462756.00000000000,"1",12653.5861,170.5374
"40","237",Msikivi,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",163.71100000000,61.74350000000,39.34130000000,-7.61917000000,462734.00000000000,"1",154899.4029,154800.3195
"40","237",Msikivi,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",163.71100000000,61.74350000000,39.34130000000,-7.61917000000,462735.00000000000,"1",37970.9839,37970.9839
"40","237",Msikivi,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",163.71100000000,61.74350000000,39.34130000000,-7.61917000000,462736.00000000000,"1",11451.4922,11451.4922
"40","237",Msikivi,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",163.71100000000,61.74350000000,39.34130000000,-7.61917000000,462737.00000000000,"1",10246.0401,10246.0401
